ID,Title,Agency,NAICS,NAICS_Description,Value_Low,Value_High,Set_Aside,Competition_Level,Why_Low_Competition,Key_Primes,Prime_Contacts,Action_Steps,Deadline_Type,Industry_Category
369,Configuration Management,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal CM expertise,"Puppet,Chef,Ansible",supplierdiversity@puppet.com,Contact agency CIO,Ongoing,IT/Cybersecurity
370,Release Management,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal release mgmt expertise,"GitLab,GitHub,Azure DevOps",supplierdiversity@gitlab.com,Contact agency DevOps,Ongoing,IT/Cybersecurity
371,Infrastructure as Code,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal IaC expertise,"HashiCorp,Pulumi,AWS CDK",supplierdiversity@hashicorp.com,Contact agency cloud,Ongoing,IT/Cybersecurity
372,GitOps Services,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal GitOps expertise,"ArgoCD,Flux,Weave",Contact agency DevOps,GitOps experience required,Ongoing,IT/Cybersecurity
373,Observability,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal observability expertise,"Datadog,Dynatrace,New Relic",supplierdiversity@datadoghq.com,Contact agency CIO,Ongoing,IT/Cybersecurity
374,Log Management,Multiple,541512,Computer Systems Design,10000000,30000000,Small Business,Low,Federal log mgmt expertise,"Splunk,Elastic,Sumo Logic",supplierdiversity@splunk.com,Contact agency SOC,Ongoing,IT/Cybersecurity
375,APM Solutions,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal APM expertise,"Dynatrace,AppDynamics,New Relic",supplierdiversity@dynatrace.com,Contact agency CIO,Ongoing,IT/Cybersecurity
376,AIOps,Multiple,541512,Computer Systems Design,10000000,35000000,Small Business,Low,Federal AIOps expertise limited,"Moogsoft,BigPanda,ServiceNow",supplierdiversity@servicenow.com,Contact agency CIO,Ongoing,IT/Cybersecurity
377,Chaos Engineering,Multiple,541512,Computer Systems Design,5000000,15000000,Small Business,Low,Federal chaos expertise limited,"Gremlin,LitmusChaos experts",partner@gremlin.com,Contact agency SRE,Ongoing,IT/Cybersecurity
378,FinOps Services,Multiple,541611,Management Consulting,10000000,30000000,Small Business,Low,Federal FinOps expertise,"Apptio,CloudHealth,Flexera",supplierdiversity@apptio.com,Contact agency CFO/CIO,Ongoing,Professional Services
379,Cloud Economics,Multiple,541611,Management Consulting,10000000,30000000,Small Business,Low,Federal cloud cost expertise,"Deloitte,Accenture,KPMG",supplierdiversity@deloitte.com,Contact agency CIO,Ongoing,Professional Services
380,Technology Assessment,Multiple,541611,Management Consulting,10000000,35000000,Small Business,Low,Federal tech assessment,"Gartner,Forrester,IDC",partner@gartner.com,Contact agency CTO,Ongoing,Professional Services
381,Enterprise Architecture,Multiple,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal EA expertise required,"Booz Allen Hamilton,Deloitte,GDIT",smallbusinesscompliance@bah.com,Contact agency CTO,Ongoing,Professional Services
382,Solutions Architecture,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal solutions expertise,"Accenture Federal,Deloitte,SAIC",supplierdiversity@accenture.com,Contact agency CIO,Ongoing,IT/Cybersecurity
383,Data Architecture,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal data arch expertise,"Booz Allen Hamilton,Deloitte,SAIC",smallbusinesscompliance@bah.com,Contact agency CDO,Ongoing,IT/Cybersecurity
384,Security Architecture,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal security arch expertise,"Booz Allen Hamilton,Deloitte,SAIC",smallbusinesscompliance@bah.com,Contact agency CISO,Ongoing,IT/Cybersecurity
385,Network Architecture,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal network arch expertise,"Cisco,Juniper,GDIT",supplierdiversity@cisco.com,Contact agency CIO,Ongoing,IT/Cybersecurity
386,Cloud Architecture,Multiple,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal cloud arch expertise,"AWS,Microsoft,Google Cloud partners",aws-publicsector-sblo@amazon.com,Contact agency CIO,Ongoing,IT/Cybersecurity
387,Integration Architecture,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal integration expertise,"MuleSoft,Dell Boomi,Informatica",supplierdiversity@mulesoft.com,Contact agency CIO,Ongoing,IT/Cybersecurity
388,Application Modernization,Multiple,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Federal app mod expertise,"Accenture Federal,Deloitte,GDIT",supplierdiversity@accenture.com,Contact agency CIO,Ongoing,IT/Cybersecurity
389,Legacy Migration,Multiple,541512,Computer Systems Design,25000000,80000000,Small Business,Low,Federal legacy expertise,"Accenture Federal,Deloitte,CGI",supplierdiversity@accenture.com,Contact agency CIO,Ongoing,IT/Cybersecurity
390,Mainframe Services,Multiple,541512,Computer Systems Design,20000000,60000000,Small Business,Low,Federal mainframe expertise,"IBM,Kyndryl,DXC",supplierdiversity@ibm.com,Contact agency CIO,Ongoing,IT/Cybersecurity
391,COBOL Modernization,Multiple,541512,Computer Systems Design,15000000,50000000,Small Business,Low,COBOL expertise increasingly rare,"IBM,Micro Focus,TSRI",supplierdiversity@ibm.com,Contact agency CIO,Ongoing,IT/Cybersecurity
392,Technical Debt Remediation,Multiple,541512,Computer Systems Design,15000000,45000000,Small Business,Low,Federal tech debt expertise,"Accenture Federal,Booz Allen,Deloitte",supplierdiversity@accenture.com,Contact agency CTO,Ongoing,IT/Cybersecurity
393,Code Refactoring,Multiple,541511,Custom Computer Programming,10000000,35000000,Small Business,Low,Federal refactoring expertise,"Accenture Federal,ThoughtWorks,Pivotal",supplierdiversity@accenture.com,Contact agency development,Ongoing,IT/Cybersecurity
394,Technical Documentation,Multiple,541430,Graphic Design Services,5000000,15000000,Small Business,Low,Federal tech writing expertise,"CACI,ManTech,Leidos",smallbusiness@caci.com,Contact agency documentation,Ongoing,Professional Services
395,Knowledge Management,Multiple,541611,Management Consulting,10000000,35000000,Small Business,Low,Federal KM expertise,"Booz Allen Hamilton,Deloitte,SAIC",smallbusinesscompliance@bah.com,Contact agency KM,Ongoing,Professional Services
396,Change Management,Multiple,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal change mgmt expertise,"Prosci partners,Deloitte,Accenture",supplierdiversity@deloitte.com,Contact agency transformation,Ongoing,Professional Services
397,Organizational Development,Multiple,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal OD expertise,"Booz Allen Hamilton,McKinsey,BCG",smallbusinesscompliance@bah.com,Contact agency HR,Ongoing,Professional Services
398,Process Improvement,Multiple,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal process expertise,"Deloitte,KPMG,Lean Six Sigma",supplierdiversity@deloitte.com,Contact agency process,Ongoing,Professional Services
399,Lean Six Sigma,Multiple,541611,Management Consulting,10000000,30000000,Small Business,Low,Federal LSS expertise,"Deloitte,Accenture,certified practitioners",supplierdiversity@deloitte.com,Contact agency process,Ongoing,Professional Services
400,Strategic Planning,Multiple,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal strategy expertise,"Booz Allen Hamilton,McKinsey,BCG",smallbusinesscompliance@bah.com,Contact agency leadership,Ongoing,Professional Services
401,Mission Analysis,DoD,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal mission analysis expertise,"RAND,MITRE,IDA",supplierdiversity@rand.org,Contact agency strategy,Ongoing,Professional Services
402,Capability Assessment,DoD,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal capability assessment,"Booz Allen Hamilton,SAIC,Deloitte",smallbusinesscompliance@bah.com,Contact agency requirements,Ongoing,Professional Services
403,Requirements Analysis,Multiple,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal requirements expertise,"Booz Allen Hamilton,MITRE,SAIC",smallbusinesscompliance@bah.com,Contact agency PMO,Ongoing,Professional Services
404,Systems Engineering,DoD,541330,Engineering Services,25000000,80000000,Small Business,Low,Federal SE expertise,"SAIC,Leidos,Northrop Grumman",smallbusiness@saic.com,Contact program offices,Ongoing,Engineering
405,Software Engineering,Multiple,541511,Custom Computer Programming,25000000,80000000,Small Business,Low,Federal software eng expertise,"SAIC,Leidos,GDIT",smallbusiness@saic.com,Contact agency development,Ongoing,IT/Cybersecurity
406,Hardware Engineering,DoD,541330,Engineering Services,20000000,65000000,Small Business,Low,Federal hardware eng expertise,"Northrop Grumman,Raytheon,L3Harris",small.business@northropgrumman.com,Contact program offices,Ongoing,Engineering
407,Test Engineering,DoD,541380,Testing Laboratories,15000000,50000000,Small Business,Low,Federal test eng expertise,"Leidos,SAIC,Peraton",sbcomp@leidos.com,Contact test ranges,Ongoing,Engineering
408,Quality Engineering,Multiple,541380,Testing Laboratories,10000000,35000000,Small Business,Low,Federal QE expertise,"Leidos,SAIC,ManTech",sbcomp@leidos.com,Contact agency QA,Ongoing,Engineering
409,Reliability Engineering,DoD,541330,Engineering Services,15000000,45000000,Small Business,Low,Federal reliability expertise,"Raytheon,Lockheed Martin,SAIC",small.business@raytheon.com,Contact program offices,Ongoing,Engineering
410,Safety Engineering,DoD,541330,Engineering Services,15000000,45000000,Small Business,Low,Federal safety eng expertise,"Leidos,SAIC,Jacobs",sbcomp@leidos.com,Contact program offices,Ongoing,Engineering
411,Human Factors Engineering,DoD,541330,Engineering Services,10000000,35000000,Small Business,Low,Federal HFE expertise,"Leidos,SAIC,Alion",sbcomp@leidos.com,Contact program offices,Ongoing,Engineering
412,Logistics Engineering,DoD,541330,Engineering Services,20000000,60000000,Small Business,Low,Federal logistics eng expertise,"Leidos,SAIC,Peraton",sbcomp@leidos.com,Contact DLA/program offices,Ongoing,Engineering
413,Sustainment Engineering,DoD,541330,Engineering Services,25000000,80000000,Small Business,Low,Federal sustainment expertise,"Leidos,SAIC,Boeing",sbcomp@leidos.com,Contact sustainment centers,Ongoing,Engineering
414,Depot Maintenance,DoD,811310,Equipment Repair,30000000,100000000,Small Business,Low,Federal depot expertise,"Boeing,Lockheed Martin,L3Harris",small.business@boeing.com,Contact depot commands,Ongoing,Manufacturing
415,Field Service Support,DoD,811310,Equipment Repair,20000000,65000000,Small Business,Low,Federal field service expertise,"Leidos,SAIC,DRS",sbcomp@leidos.com,Contact field commands,Ongoing,Manufacturing
416,Technical Manuals,DoD,541430,Graphic Design Services,10000000,30000000,Small Business,Low,Federal tech manual expertise,"CACI,ManTech,Leidos",smallbusiness@caci.com,Contact LOGSA,Ongoing,Professional Services
417,Training Device Support,DoD,541512,Computer Systems Design,15000000,50000000,Small Business,Low,Federal training device expertise,"CAE,Cubic,L3Harris",supplierdiversity@cae.com,Contact PEO STRI,Ongoing,IT/Cybersecurity
418,Simulation Support,DoD,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal simulation expertise,"CAE,Cubic,Lockheed Martin",supplierdiversity@cae.com,Contact simulation centers,Ongoing,IT/Cybersecurity
419,Modeling & Simulation,DoD,541512,Computer Systems Design,20000000,65000000,Small Business,Low,Federal M&S expertise,"SAIC,Leidos,Raytheon",smallbusiness@saic.com,Contact M&S offices,Ongoing,IT/Cybersecurity
420,Wargaming Support,DoD,541990,Other Professional Services,15000000,45000000,Small Business,Low,Federal wargaming expertise,"RAND,CNA,SAIC",supplierdiversity@rand.org,Contact wargaming centers,Ongoing,Professional Services
421,Operations Research,DoD,541720,Economics Research,15000000,50000000,Small Business,Low,Federal OR expertise,"IDA,CNA,RAND",supplierdiversity@rand.org,Contact analysis offices,Ongoing,R&D
422,Cost Estimation,DoD,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal cost estimation expertise,"Technomics,MCR,Tecolote",supplierdiversity@technomics.net,Contact CAPE,Ongoing,Professional Services
423,Schedule Analysis,DoD,541611,Management Consulting,10000000,30000000,Small Business,Low,Federal schedule expertise,"Booz Allen Hamilton,SAIC,Deltek",smallbusinesscompliance@bah.com,Contact program offices,Ongoing,Professional Services
424,Risk Management,Multiple,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal risk mgmt expertise,"Deloitte,KPMG,Booz Allen Hamilton",supplierdiversity@deloitte.com,Contact agency risk,Ongoing,Professional Services
425,Contract Management,Multiple,541611,Management Consulting,15000000,45000000,Small Business,Low,Federal contract mgmt expertise,"CACI,ManTech,Serco",smallbusiness@caci.com,Contact agency procurement,Ongoing,Professional Services
426,Acquisition Support,Multiple,541611,Management Consulting,20000000,65000000,Small Business,Low,Federal acquisition expertise,"Booz Allen Hamilton,Deloitte,SAIC",smallbusinesscompliance@bah.com,Contact agency procurement,Ongoing,Professional Services
427,Source Selection Support,Multiple,541611,Management Consulting,10000000,35000000,Small Business,Low,Federal source selection,"Booz Allen Hamilton,SAIC,cleared contractors",smallbusinesscompliance@bah.com,Contact agency procurement,Ongoing,Professional Services
428,Contract Closeout,Multiple,541611,Management Consulting,5000000,15000000,Small Business,Low,Federal closeout expertise,"CACI,ManTech,Serco",smallbusiness@caci.com,Contact agency contracts,Ongoing,Professional Services
429,Property Management,Multiple,531312,Property Managers,15000000,50000000,Small Business,Low,Federal property expertise,"CBRE,JLL,Cushman Wakefield",supplierdiversity@cbre.com,Contact GSA PBS,Ongoing,Facilities
430,Facility Management,Multiple,561210,Facilities Support,25000000,80000000,Small Business,Low,Federal FM expertise,"CBRE,JLL,AECOM",supplierdiversity@cbre.com,Contact agency facilities,Ongoing,Facilities
431,Space Planning,GSA,541410,Interior Design,10000000,30000000,Small Business,Low,Federal space planning expertise,"Gensler,HOK,IA Interior Architects",supplierdiversity@gensler.com,Contact GSA PBS,Ongoing,Engineering
432,Move Management,Multiple,484210,Moving Services,10000000,30000000,Small Business,Low,Federal move expertise,"Allied,United,Mayflower",supplierdiversity@sirva.com,Contact agency facilities,Ongoing,Logistics
433,Furniture Installation,GSA,337127,Furniture Installation,10000000,30000000,Small Business,Low,Federal furniture expertise,"Steelcase dealers,Herman Miller dealers",supplierdiversity@steelcase.com,Contact GSA PBS,Ongoing,Facilities
434,Signage Services,Multiple,339950,Sign Manufacturing,5000000,15000000,Small Business,Low,Federal signage expertise,"FASTSIGNS,local contractors",Contact agency facilities,GSA Schedule preferred,Ongoing,Manufacturing
435,Pest Control,Multiple,561710,Pest Control,5000000,15000000,Small Business,Low,Federal pest control certs,"Orkin,Terminix,Rentokil",supplierdiversity@rollins.com,Contact agency facilities,Ongoing,Facilities
436,Window Cleaning,Multiple,561720,Janitorial Services,5000000,15000000,Small Business,Low,Federal window cleaning,"ABM,local contractors",supplier.diversity@abm.com,Contact agency facilities,Ongoing,Facilities
437,Carpet Cleaning,Multiple,561740,Carpet Cleaning,5000000,15000000,Small Business,Low,Federal carpet cleaning expertise,"ServiceMaster,local contractors",supplierdiversity@servicemaster.com,Contact agency facilities,Ongoing,Facilities
438,Elevator Maintenance,Multiple,238290,Elevator Installation,15000000,50000000,Small Business,Low,Federal elevator expertise,"OTIS,Schindler,Kone",supplierdiversity@otis.com,Contact agency facilities,Ongoing,Facilities
439,HVAC Maintenance,Multiple,238220,HVAC Contractors,15000000,50000000,Small Business,Low,Federal HVAC expertise,"Johnson Controls,Trane,Carrier",supplier.diversity@jci.com,Contact agency facilities,Ongoing,Facilities
440,Plumbing Services,Multiple,238220,Plumbing Contractors,10000000,35000000,Small Business,Low,Federal plumbing expertise,"Local licensed contractors",Contact agency facilities,Licensed plumber required,Ongoing,Construction
441,Electrical Services,Multiple,238210,Electrical Contractors,15000000,50000000,Small Business,Low,Federal electrical expertise,"Quanta,MYR Group,local contractors",supplier.diversity@quantaservices.com,Contact agency facilities,Ongoing,Construction
442,Roofing Services,Multiple,238160,Roofing Contractors,10000000,35000000,Small Business,Low,Federal roofing expertise,"Local licensed contractors",Contact agency facilities,Licensed roofer required,Ongoing,Construction
443,Painting Services,Multiple,238320,Painting Contractors,10000000,30000000,Small Business,Low,Federal painting expertise,"Local licensed contractors",Contact agency facilities,Licensed painter required,Ongoing,Construction
444,Flooring Services,Multiple,238330,Flooring Contractors,10000000,30000000,Small Business,Low,Federal flooring expertise,"Local licensed contractors",Contact agency facilities,Licensed installer required,Ongoing,Construction
445,Fire Protection,Multiple,238210,Electrical Contractors,15000000,50000000,Small Business,Low,Federal fire protection expertise,"Johnson Controls,Siemens,Honeywell",supplier.diversity@jci.com,Contact agency facilities,Ongoing,Construction
446,Energy Management,Multiple,541620,Environmental Consulting,15000000,50000000,Small Business,Low,Federal energy mgmt expertise,"Schneider,Johnson Controls,Siemens",supplier.diversity@se.com,Contact agency ESPC,Ongoing,Energy
447,Building Automation,Multiple,238210,Electrical Contractors,15000000,50000000,Small Business,Low,Federal BAS expertise,"Johnson Controls,Siemens,Honeywell",supplier.diversity@jci.com,Contact agency facilities,Ongoing,Facilities
448,Commissioning Services,Multiple,541330,Engineering Services,10000000,35000000,Small Business,Low,Federal Cx expertise,"AECOM,Jacobs,WSP",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
449,Energy Audits,Multiple,541620,Environmental Consulting,5000000,15000000,Small Business,Low,Federal energy audit expertise,"Schneider,local auditors",supplier.diversity@se.com,Contact agency energy,Ongoing,Energy
450,Sustainability Consulting,Multiple,541620,Environmental Consulting,10000000,35000000,Small Business,Low,Federal sustainability expertise,"AECOM,WSP,Jacobs",smallbusiness@aecom.com,Contact agency sustainability,Ongoing,Environmental
451,LEED Consulting,Multiple,541620,Environmental Consulting,5000000,20000000,Small Business,Low,Federal LEED expertise,"AECOM,local LEED APs",smallbusiness@aecom.com,Contact agency sustainability,Ongoing,Environmental
452,Environmental Compliance,Multiple,541620,Environmental Consulting,15000000,50000000,Small Business,Low,Federal environmental expertise,"Tetra Tech,AECOM,Jacobs",smallbusiness@tetratech.com,Contact agency environmental,Ongoing,Environmental
453,NEPA Support,Multiple,541620,Environmental Consulting,15000000,45000000,Small Business,Low,Federal NEPA expertise,"Tetra Tech,AECOM,ICF",smallbusiness@tetratech.com,Contact agency NEPA office,Ongoing,Environmental
454,Cultural Resources,Multiple,541720,Social Science Research,10000000,30000000,Small Business,Low,Federal cultural resources expertise,"AECOM,ICF,Tetra Tech",smallbusiness@aecom.com,Contact agency cultural,Ongoing,Environmental
455,Archaeological Services,Multiple,541720,Social Science Research,10000000,30000000,Small Business,Low,Federal archaeology expertise,"AECOM,Tetra Tech,local archaeologists",smallbusiness@aecom.com,Contact agency cultural,Ongoing,Environmental
456,Biological Surveys,Multiple,541620,Environmental Consulting,10000000,30000000,Small Business,Low,Federal biology expertise,"AECOM,Tetra Tech,local biologists",smallbusiness@aecom.com,Contact agency natural resources,Ongoing,Environmental
457,Threatened Species,Multiple,541620,Environmental Consulting,10000000,30000000,Small Business,Low,Federal T&E expertise,"AECOM,Tetra Tech,USFWS consultants",smallbusiness@aecom.com,Contact USFWS,Ongoing,Environmental
458,Geotechnical Services,Multiple,541330,Engineering Services,15000000,45000000,Small Business,Low,Federal geotech expertise,"Terracon,GeoEngineers,AECOM",supplierdiversity@terracon.com,Contact agency facilities,Ongoing,Engineering
459,Surveying Services,Multiple,541370,Surveying Services,10000000,35000000,Small Business,Low,Federal surveying expertise,"Local licensed surveyors",Contact agency facilities,Licensed surveyor required,Ongoing,Engineering
460,Civil Engineering,Multiple,541330,Engineering Services,20000000,65000000,Small Business,Low,Federal civil eng expertise,"AECOM,Jacobs,HDR",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
461,Structural Engineering,Multiple,541330,Engineering Services,15000000,50000000,Small Business,Low,Federal structural expertise,"AECOM,Thornton Tomasetti,WSP",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
462,Mechanical Engineering,Multiple,541330,Engineering Services,15000000,50000000,Small Business,Low,Federal mechanical expertise,"AECOM,HDR,WSP",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
463,Electrical Engineering,Multiple,541330,Engineering Services,15000000,50000000,Small Business,Low,Federal EE expertise,"AECOM,HDR,WSP",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
464,Fire Protection Engineering,Multiple,541330,Engineering Services,10000000,35000000,Small Business,Low,Federal FPE expertise,"Arup,Jensen Hughes,Rolf Jensen",supplierdiversity@arup.com,Contact agency facilities,Ongoing,Engineering
465,Landscape Architecture,Multiple,541320,Landscape Architecture,10000000,30000000,Small Business,Low,Federal LA expertise,"AECOM,SWA,Sasaki",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
466,Architecture Services,Multiple,541310,Architectural Services,20000000,65000000,Small Business,Low,Federal architecture expertise,"AECOM,Gensler,HOK",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
467,Interior Design,Multiple,541410,Interior Design,10000000,35000000,Small Business,Low,Federal ID expertise,"Gensler,IA Interior Architects,local designers",supplierdiversity@gensler.com,Contact agency facilities,Ongoing,Engineering
468,Construction Management,Multiple,236220,Commercial Construction,25000000,80000000,Small Business,Low,Federal CM expertise,"AECOM,Jacobs,Turner",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Construction
469,Program Management,Multiple,541611,Management Consulting,30000000,100000000,Small Business,Low,Federal PM expertise,"Booz Allen Hamilton,Deloitte,AECOM",smallbusinesscompliance@bah.com,Contact agency PMO,Ongoing,Professional Services
470,Owner's Representative,Multiple,541611,Management Consulting,15000000,50000000,Small Business,Low,Federal owner's rep expertise,"AECOM,Jacobs,Hill International",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Professional Services
471,Design-Build Services,Multiple,236220,Commercial Construction,30000000,100000000,Small Business,Low,Federal DB expertise,"Hensel Phelps,Turner,Skanska",supplierdiversity@henselphelps.com,Contact agency facilities,Ongoing,Construction
472,Value Engineering,Multiple,541330,Engineering Services,5000000,15000000,Small Business,Low,Federal VE expertise,"AECOM,HDR,Jacobs",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
473,Cost Engineering,Multiple,541330,Engineering Services,10000000,30000000,Small Business,Low,Federal cost eng expertise,"AECOM,Faithful+Gould,Rider Levett",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
474,Scheduling Services,Multiple,541611,Management Consulting,10000000,30000000,Small Business,Low,Federal scheduling expertise,"AECOM,Hill International,local schedulers",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Professional Services
475,Claims Analysis,Multiple,541611,Management Consulting,10000000,30000000,Small Business,Low,Federal claims expertise,"Hill International,Navigant,FTI Consulting",supplierdiversity@hillintl.com,Contact agency contracts,Ongoing,Professional Services
476,Dispute Resolution,Multiple,541199,Legal Services,10000000,30000000,Small Business,Low,Federal dispute expertise,"JAMS,AAA,local mediators",Contact agency contracts,ADR experience required,Ongoing,Professional Services
477,Expert Witness Services,Multiple,541199,Legal Services,5000000,15000000,Small Business,Low,Federal expert witness,"Various technical experts",Contact agency legal,Technical expertise required,Ongoing,Professional Services
478,Forensic Engineering,Multiple,541330,Engineering Services,10000000,30000000,Small Business,Low,Federal forensic eng expertise,"Wiss Janney Elstner,AECOM,Thornton Tomasetti",supplierdiversity@wje.com,Contact agency facilities,Ongoing,Engineering
479,Building Inspections,Multiple,541350,Building Inspection,10000000,30000000,Small Business,Low,Federal inspection expertise,"Local licensed inspectors",Contact agency facilities,Licensed inspector required,Ongoing,Engineering
480,Code Compliance,Multiple,541350,Building Inspection,10000000,30000000,Small Business,Low,Federal code expertise,"Local code consultants",Contact agency facilities,Code certification required,Ongoing,Engineering
481,ADA Compliance,Multiple,541350,Building Inspection,10000000,30000000,Small Business,Low,Federal ADA expertise,"Local ADA consultants",Contact agency facilities,ADA certification preferred,Ongoing,Engineering
482,Seismic Assessment,Multiple,541330,Engineering Services,10000000,35000000,Small Business,Low,Federal seismic expertise,"AECOM,Degenkolb,local structural",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Engineering
483,Blast Assessment,Multiple,541330,Engineering Services,10000000,35000000,Small Business,Low,Federal blast expertise,"Weidlinger/Thornton Tomasetti,AECOM,Applied Research",supplierdiversity@thorntontomasetti.com,Contact agency security,Ongoing,Engineering
484,Antiterrorism Design,Multiple,541330,Engineering Services,15000000,50000000,Small Business,Low,Federal AT design expertise,"AECOM,HDR,specialized AT consultants",smallbusiness@aecom.com,Contact agency security,Ongoing,Engineering
485,Physical Security Design,Multiple,541330,Engineering Services,15000000,45000000,Small Business,Low,Federal PSE expertise,"AECOM,Black & Veatch,specialized consultants",smallbusiness@aecom.com,Contact agency security,Ongoing,Engineering
486,Electronic Security Design,Multiple,541330,Engineering Services,15000000,45000000,Small Business,Low,Federal ESS design expertise,"Black & Veatch,AECOM,specialized consultants",smallbusiness@blackandveatch.com,Contact agency security,Ongoing,Engineering
487,SCIF Construction,Multiple,236220,Commercial Construction,20000000,70000000,Small Business,Low,Federal SCIF expertise limited,"Turner,Hensel Phelps,cleared contractors",supplierdiversity@tcco.com,Contact agency security,Ongoing,Construction
488,Clean Room Construction,Multiple,236220,Commercial Construction,15000000,50000000,Small Business,Low,Federal cleanroom expertise,"Turner,Hensel Phelps,specialized contractors",supplierdiversity@tcco.com,Contact agency facilities,Ongoing,Construction
489,Laboratory Construction,Multiple,236220,Commercial Construction,25000000,80000000,Small Business,Low,Federal lab construction expertise,"Turner,Hensel Phelps,Mortenson",supplierdiversity@tcco.com,Contact agency facilities,Ongoing,Construction
490,Hospital Construction,Multiple,236220,Commercial Construction,30000000,100000000,Small Business,Low,Federal hospital expertise,"Turner,Skanska,Gilbane",supplierdiversity@tcco.com,Contact VA/MHS facilities,Ongoing,Construction
491,Data Center Construction,Multiple,236220,Commercial Construction,30000000,100000000,Small Business,Low,Federal DC construction expertise,"Turner,DPR,Holder",supplierdiversity@tcco.com,Contact agency CIO,Ongoing,Construction
492,Renewable Energy Construction,Multiple,237130,Power Construction,25000000,80000000,Small Business,Low,Federal renewable expertise,"Mortenson,Blattner,RES Americas",supplierdiversity@mortenson.com,Contact agency energy,Ongoing,Construction
493,Utility Infrastructure,Multiple,237130,Power Construction,25000000,80000000,Small Business,Low,Federal utility expertise,"Quanta,MYR Group,Pike Electric",supplier.diversity@quantaservices.com,Contact agency facilities,Ongoing,Construction
494,Telecommunications Infrastructure,Multiple,237130,Power Construction,20000000,70000000,Small Business,Low,Federal telecom infrastructure,"Quanta,MasTec,Dycom",supplier.diversity@quantaservices.com,Contact agency CIO,Ongoing,Construction
495,Water Infrastructure,Multiple,237110,Water Construction,25000000,80000000,Small Business,Low,Federal water infrastructure,"AECOM,Black & Veatch,Stantec",smallbusiness@aecom.com,Contact Army Corps/EPA,Ongoing,Construction
496,Stormwater Management,Multiple,237110,Water Construction,15000000,50000000,Small Business,Low,Federal stormwater expertise,"AECOM,Tetra Tech,Stantec",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Construction
497,Wastewater Infrastructure,Multiple,237110,Water Construction,25000000,80000000,Small Business,Low,Federal wastewater expertise,"AECOM,Black & Veatch,HDR",smallbusiness@aecom.com,Contact agency facilities,Ongoing,Construction
498,Bridge Construction,Multiple,237310,Bridge Construction,25000000,80000000,Small Business,Low,Federal bridge expertise,"Granite,Kiewit,Flatiron",supplierdiversity@graniteconstruction.com,Contact DOT/Army Corps,Ongoing,Construction
499,Highway Construction,Multiple,237310,Highway Construction,30000000,100000000,Small Business,Low,Federal highway expertise,"Granite,Kiewit,Flatiron",supplierdiversity@graniteconstruction.com,Contact DOT FHWA,Ongoing,Construction
500,Airport Construction,Multiple,237310,Highway Construction,30000000,100000000,Small Business,Low,Federal airport expertise,"Turner,Hensel Phelps,Austin",supplierdiversity@tcco.com,Contact FAA,Ongoing,Construction
501,Port Construction,Multiple,237990,Marine Construction,30000000,100000000,Small Business,Low,Federal port expertise,"Great Lakes Dredge,Weeks Marine,Manson",supplierdiversity@gldd.com,Contact Army Corps,Ongoing,Construction
